Methylation,Prediction,Age,cg16867657,x,y,Slope,Min ,Max
,,63.00,0.71,,,,,
,,70.00,0.70,,,,,
,,45.00,0.51,,,,,
,,75.00,0.69,,,,,
,,68.00,0.73,,,,,
,,51.00,0.59,,,,,
,,52.00,0.60,,,,,
,,58.00,0.60,,,,,
,,51.00,0.61,,,,,
,,87.00,0.70,,,,,
,,64.00,0.67,,,,,
,,75.00,0.73,,,,,
,,64.00,0.67,,,,,
,,45.00,0.59,,,,,
,,28.00,0.53,,,,,
,,85.00,0.71,,,,,
,,68.00,0.65,,,,,
,,60.00,0.68,,,,,
,,55.00,0.69,,,,,
,,31.00,0.49,,,,,
,,52.00,0.49,,,,,
,,61.00,0.66,,,,,
,,48.00,0.52,,,,,
,,62.00,0.66,,,,,
,,43.00,0.58,,,,,
,,70.00,0.70,,,,,
,,52.00,0.63,,,,,
,,58.00,0.63,,,,,
,,33.00,0.55,,,,,
,,57.00,0.66,,,,,
,,27.00,0.46,,,,,
,,77.00,0.78,,,,,
,,49.00,0.58,,,,,
,,32.00,0.50,,,,,
,,67.00,0.76,,,,,
,,57.00,0.62,,,,,
,,46.00,0.55,,,,,
,,68.00,0.71,,,,,
,,60.00,0.67,,,,,
,,96.00,0.92,,,,,
,,83.00,0.72,,,,,
,,61.00,0.65,,,,,
,,26.00,0.47,,,,,
,,71.00,0.73,,,,,
,,64.00,0.70,,,,,
,,20.00,0.45,,,,,
,,73.00,0.63,,,,,
,,65.00,0.66,,,,,
,,59.00,0.63,,,,,
,,85.00,0.76,,,,,
,,58.00,0.61,,,,,
,,55.00,0.59,,,,,
,,59.00,0.65,,,,,
,,44.00,0.57,,,,,
,,32.00,0.51,,,,,
,,63.00,0.66,,,,,
,,48.00,0.55,,,,,
,,64.00,0.78,,,,,
,,65.00,0.71,,,,,
,,47.00,0.58,,,,,
,,40.00,0.55,,,,,
,,76.00,0.77,,,,,
,,54.00,0.62,,,,,
,,21.00,0.44,,,,,
,,36.00,0.54,,,,,
,,24.00,0.45,,,,,
,,37.00,0.56,,,,,
,,47.00,0.58,,,,,
,,65.00,0.69,,,,,
,,66.00,0.70,,,,,
,,68.00,0.68,,,,,
,,86.00,0.79,,,,,
,,65.00,0.68,,,,,
,,45.00,0.58,,,,,
,,45.00,0.58,,,,,
,,63.00,0.76,,,,,
,,72.00,0.74,,,,,
,,70.00,0.80,,,,,
,,23.00,0.40,,,,,
,,53.00,0.64,,,,,
,,90.00,0.90,,,,,
,,55.00,0.65,,,,,
,,54.00,0.74,,,,,
,,69.00,0.66,,,,,
,,69.00,0.75,,,,,
,,69.00,0.72,,,,,
,,59.00,0.62,,,,,
,,69.00,0.66,,,,,
,,73.00,0.72,,,,,
,,62.00,0.67,,,,,
,,56.00,0.61,,,,,
,,55.00,0.61,,,,,
,,101.00,0.83,,,,,
,,79.00,0.78,,,,,
,,68.00,0.70,,,,,
,,45.00,0.57,,,,,
,,57.00,0.61,,,,,
,,28.00,0.53,,,,,
,,59.00,0.71,,,,,
,,78.00,0.78,,,,,
,,26.00,0.53,,,,,
,,76.00,0.71,,,,,
,,61.00,0.82,,,,,
,,56.00,0.61,,,,,
,,55.00,0.59,,,,,
,,57.00,0.65,,,,,
,,68.00,0.71,,,,,
,,60.00,0.58,,,,,
,,60.00,0.63,,,,,
,,68.00,0.67,,,,,
,,32.00,0.47,,,,,
,,49.00,0.60,,,,,
,,68.00,0.68,,,,,
,,50.00,0.67,,,,,
,,56.00,0.64,,,,,
,,54.00,0.57,,,,,
,,54.00,0.61,,,,,
,,74.00,0.71,,,,,
,,52.00,0.64,,,,,
,,59.00,0.62,,,,,
,,59.00,0.60,,,,,
,,67.00,0.71,,,,,
,,60.00,0.66,,,,,
,,87.00,0.78,,,,,
,,85.00,0.78,,,,,
,,57.00,0.74,,,,,
,,66.00,0.72,,,,,
,,33.00,0.50,,,,,
,,66.00,0.68,,,,,
,,20.00,0.43,,,,,
,,66.00,0.67,,,,,
,,63.00,0.64,,,,,
,,73.00,0.72,,,,,
,,72.00,0.73,,,,,
,,66.00,0.63,,,,,
,,76.00,0.65,,,,,
,,20.00,0.50,,,,,
,,47.00,0.61,,,,,
,,58.00,0.72,,,,,
,,36.00,0.56,,,,,
,,52.00,0.59,,,,,
